season,year,crop_type,district,crop_yield,area,production,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,organic_matter,irrigation_type,rainfall_mm,avg_temperature,fertilizer_npk,organic_fertilizer,pesticide_usage,seed_quality,mechanization,farmer_experience
Rabi,2000,Millet,Bengaluru Urban,0.1616619753427332,2826.496887,6924.77,6.53,222.4,14.0,120.6,1.56,1,284.9,23.0,71.4,11.8,1,0,0,10
Zaid,2000,Millet,Bengaluru Urban,0.10777807147847096,2967.835435,7352.18,7.18,100.0,20.2,177.3,1.28,0,255.4,37.0,132.2,23.6,0,0,0,4
Kharif,2000,Millet,Bidar,0.13761325092127877,2741.199098,7478.61,5.98,143.3,10.0,158.4,1.35,1,836.6,26.9,123.2,39.5,0,0,0,9
Rabi,2000,Millet,Bidar,0.13257581656737966,2724.188675,7418.42,5.72,131.7,17.6,135.4,1.21,1,270.1,22.4,143.0,27.2,0,0,0,10
Zaid,2000,Millet,Bidar,0.24569912930063054,2780.436739,7981.32,6.64,100.0,30.5,126.3,1.23,1,351.6,29.8,73.0,35.6,1,0,0,13
Kharif,2000,Millet,Chamarajanagar,0.1233623767740012,2591.417623,7595.95,6.9,200.6,13.6,89.6,1.32,1,739.7,30.6,99.8,42.2,0,0,0,9
Rabi,2000,Millet,Chamarajanagar,0.25638009386711075,2712.453046,6848.34,6.37,232.8,20.5,85.9,1.25,1,447.5,19.5,128.3,16.7,0,0,0,10
Zaid,2000,Millet,Chamarajanagar,0.07782996913156869,2706.182717,6621.7,6.28,158.2,17.2,80.0,1.63,0,330.4,32.7,81.6,39.3,1,0,0,6
Kharif,2000,Millet,Chikkaballapur,0.06864761573095135,2630.052787,6651.93,7.03,166.2,10.0,83.5,1.73,1,1001.2,28.1,132.2,45.1,1,0,0,6
Rabi,2000,Millet,Chikkaballapur,0.10662243818512725,2909.867152,7032.33,6.97,149.9,13.0,134.2,1.34,0,376.7,19.8,89.8,0.0,0,0,0,8
Zaid,2000,Millet,Chikkaballapur,0.11275446878641851,2906.306196,7823.55,6.27,167.9,16.1,80.0,1.37,1,353.5,39.1,161.8,44.2,1,0,0,10
Kharif,2000,Millet,Chikkamagaluru,0.09244292712124785,2626.061475,8228.91,5.52,132.5,10.3,138.1,1.36,0,877.5,25.7,157.4,19.4,0,0,0,5
Rabi,2000,Millet,Chikkamagaluru,0.11243343595703759,2883.002053,7465.94,7.36,140.3,10.0,139.3,2.21,0,501.6,17.1,67.8,20.1,0,0,0,15
Zaid,2000,Millet,Chikkamagaluru,0.03961222241268599,2770.917935,7106.7,5.0,100.0,13.5,80.0,2.07,1,200.0,31.6,92.2,24.5,1,0,0,18
Kharif,2000,Millet,Chitradurga,0.11814219932892459,2781.487213,8796.11,6.02,143.5,17.2,94.5,1.62,1,824.4,22.4,146.0,15.2,0,0,0,17
Rabi,2000,Millet,Chitradurga,0.12381890180330375,2760.214305,7140.86,6.43,147.7,17.8,93.0,1.52,1,351.5,17.5,95.5,37.9,1,0,0,13
Zaid,2000,Millet,Chitradurga,0.10203245102561523,2647.064891,7237.55,6.9,149.6,10.0,95.1,1.81,1,348.0,26.7,69.9,13.8,1,0,0,12
Kharif,2000,Millet,Dakshina Kannada,0.2551785115812036,2665.076393,7533.92,6.39,168.5,22.2,136.5,1.98,0,904.1,27.3,132.4,19.9,1,0,0,3
Rabi,2000,Millet,Dakshina Kannada,0.1166338768263806,2666.103709,7381.35,6.55,148.2,10.0,174.8,1.28,1,280.6,23.0,126.7,13.4,0,0,0,6
Zaid,2000,Millet,Dakshina Kannada,0.051971401643897165,2702.137391,6763.22,6.98,118.1,10.0,102.0,1.7,1,255.6,30.7,112.1,31.9,0,0,0,10
Kharif,2000,Millet,Davanagere,0.05158114066431251,2804.601393,7659.1,5.8,100.0,10.0,105.5,1.68,0,1190.2,27.1,106.4,13.6,0,0,0,6
Rabi,2000,Millet,Davanagere,0.16462980181831596,2617.818411,6580.36,6.66,100.0,19.7,157.6,1.54,0,439.6,18.6,119.8,24.6,1,0,0,11
Zaid,2000,Millet,Davanagere,0.09718511378182475,2604.807391,6979.12,6.55,100.0,15.7,126.8,2.02,0,375.5,35.5,160.9,22.1,1,0,0,11
Kharif,2000,Millet,Dharwad,0.04427571052480747,2804.973115,7945.28,6.09,100.6,10.0,96.3,1.36,1,929.6,22.4,117.7,32.5,0,0,0,11
Rabi,2000,Millet,Dharwad,0.2638427941356296,2671.774172,6983.83,5.86,197.4,25.0,97.7,1.06,1,533.3,21.1,114.6,0.0,0,0,0,2
Zaid,2000,Millet,Dharwad,0.10236564433797611,2746.72663,6445.77,6.5,125.6,11.9,130.1,1.25,1,288.8,28.0,121.7,39.2,0,0,0,14
Kharif,2000,Millet,Gadag,0.1115639163850036,2693.270902,6824.55,6.66,100.0,27.9,115.1,1.93,0,913.3,31.0,111.1,8.2,0,0,0,5
Rabi,2000,Millet,Gadag,0.08884192182699169,2905.251523,8353.7,6.81,179.3,10.0,132.7,1.9,0,227.2,23.5,102.8,27.0,1,0,0,1
Zaid,2000,Millet,Gadag,0.040082754366853386,2566.022174,7449.79,7.29,100.0,10.0,110.5,1.7,0,297.4,35.3,63.7,22.2,0,0,0,6
Kharif,2000,Millet,Hassan,0.048172761378333845,2823.901393,7389.17,6.68,100.0,11.4,80.0,1.56,1,1088.0,26.7,92.0,11.4,0,0,0,3
Rabi,2000,Millet,Hassan,0.039366746477905994,2715.448543,7045.15,6.45,100.0,11.1,80.0,2.17,0,403.5,22.0,142.4,36.4,1,0,0,3
Zaid,2000,Millet,Hassan,0.04970659711391041,2663.547935,6372.99,6.24,100.8,13.3,80.0,1.12,0,407.8,34.5,76.1,23.8,0,0,0,11
Kharif,2000,Millet,Haveri,0.06477737706666074,2827.260246,7702.1,6.44,100.0,10.0,118.0,1.35,0,620.2,24.9,86.9,12.2,1,0,0,4
Rabi,2000,Millet,Haveri,0.12862648072517865,2731.206093,7375.53,7.32,159.6,15.5,156.3,1.6,0,315.3,18.3,153.9,18.0,0,0,0,3
Zaid,2000,Millet,Haveri,0.1054853044920462,2843.969674,7191.26,6.95,200.4,10.0,128.5,1.38,0,261.6,29.6,89.7,0.0,1,0,0,9
Kharif,2000,Millet,Kalaburagi,0.06081102080972445,3006.628279,8680.51,6.38,100.0,11.0,134.8,1.74,1,707.9,34.0,155.5,38.0,0,0,0,2
Rabi,2000,Millet,Kalaburagi,0.03230039392842435,2942.775894,6902.88,6.13,100.0,10.0,112.8,1.65,0,310.8,15.5,113.7,65.0,0,0,0,1
Zaid,2000,Millet,Kalaburagi,0.09627471578771242,2700.081957,6909.98,6.08,108.7,23.6,94.4,1.83,1,211.0,29.9,179.2,0.0,1,0,0,1
Kharif,2000,Millet,Kodagu,0.0758150336508023,2629.435082,6644.02,6.68,100.0,16.2,107.0,1.93,0,950.1,26.2,123.7,18.8,1,0,0,4
Rabi,2000,Millet,Kodagu,0.1646780208251048,2876.639073,6808.2,6.64,206.8,22.4,101.6,1.93,0,359.8,17.3,50.0,39.1,0,0,0,2
Zaid,2000,Millet,Kodagu,0.07449938310304585,2549.553152,6056.45,6.66,115.0,22.1,80.0,1.64,0,360.8,32.5,122.8,10.2,1,0,0,4
Kharif,2000,Millet,Kolar,0.1780119528966724,2936.795738,8420.33,6.81,215.4,17.0,119.6,1.45,0,733.0,32.5,118.9,18.8,1,0,0,10
Rabi,2000,Millet,Kolar,0.08686351534982546,2848.824437,7884.66,6.37,100.0,12.0,123.3,1.81,1,309.3,25.5,136.9,0.0,0,0,0,8
Zaid,2000,Millet,Kolar,0.1269275565600631,2762.483152,6361.74,5.63,183.5,20.7,109.6,1.65,0,211.2,31.4,106.9,50.0,1,0,0,9
Kharif,2000,Millet,Koppal,0.3467374440532895,2743.548033,6761.81,6.11,142.8,30.5,151.9,2.05,1,799.3,27.7,129.3,61.5,0,0,0,9
Rabi,2000,Millet,Koppal,0.0421703232134477,2681.72947,5986.58,6.42,106.5,10.0,80.0,1.81,0,407.2,25.0,80.8,0.6,0,0,0,5
Zaid,2000,Millet,Koppal,0.07247133866531182,2680.171304,8008.57,6.38,113.9,10.0,110.7,1.52,0,354.7,29.0,122.7,12.2,1,0,0,5
Kharif,2000,Millet,Raichur,0.05828843679990136,2979.782459,7418.5,7.75,126.4,15.6,110.9,1.63,0,871.6,35.6,72.8,44.3,0,0,0,1
Rabi,2000,Millet,Raichur,0.04640270923558949,2760.401788,6848.73,7.11,100.0,12.8,100.4,1.15,1,323.4,18.6,103.9,30.8,1,0,0,2
Zaid,2000,Millet,Raichur,0.06509324855138872,2775.924674,7889.63,6.85,100.0,11.4,126.8,1.22,0,356.1,34.4,78.6,27.5,0,0,0,7
Kharif,2000,Millet,Ramanagara,0.14261167638636346,2798.416393,8170.13,5.98,149.3,20.3,102.9,1.69,0,654.2,24.3,82.5,43.8,0,0,0,1
Rabi,2000,Millet,Ramanagara,0.19060955828633935,2718.900795,7097.69,5.88,194.4,10.0,162.7,1.64,1,390.5,23.8,105.3,18.6,0,0,0,13
Zaid,2000,Millet,Ramanagara,0.06789776950997782,2672.150761,6345.79,6.65,100.0,10.0,133.7,1.62,1,285.5,28.2,108.7,0.0,0,0,0,9
Kharif,2000,Millet,Shivamogga,0.17646002068608851,2587.183525,7874.39,7.0,143.8,17.7,141.9,2.09,0,1099.2,27.5,131.5,30.0,0,0,0,1
Rabi,2000,Millet,Shivamogga,0.0570617587182279,2788.704834,6967.72,6.75,100.0,17.0,88.9,1.39,0,261.4,25.3,79.5,32.1,0,0,0,1
Zaid,2000,Millet,Shivamogga,0.0906497954328392,2672.256413,6964.25,6.74,131.6,10.0,132.8,1.41,0,309.6,27.0,135.9,18.4,0,0,0,7
Kharif,2000,Millet,Tumakuru,0.18408892620631276,2671.517459,7056.91,6.48,195.1,10.5,166.2,1.79,1,789.3,24.8,134.2,0.0,0,0,0,12
Rabi,2000,Millet,Tumakuru,0.168754507235244,2657.533709,7025.42,6.46,149.1,17.0,80.0,1.69,1,460.1,25.1,138.2,16.9,0,0,0,9
Zaid,2000,Millet,Tumakuru,0.11148032460463544,2728.725761,7697.0,6.71,132.8,17.7,80.0,1.26,1,382.8,35.3,104.4,17.0,1,0,0,11
Kharif,2000,Millet,Udupi,0.07413958447813676,2797.190984,8986.69,6.55,106.6,12.2,103.4,1.66,0,806.1,27.2,111.8,30.7,1,0,0,1
Rabi,2000,Millet,Udupi,0.1834084875534686,2840.539205,7889.14,7.0,100.0,17.7,138.7,1.61,1,504.8,24.8,86.2,16.2,1,0,0,1
Zaid,2000,Millet,Udupi,0.19209531412003694,2783.398261,7304.67,6.28,182.3,28.2,96.1,1.45,0,277.8,29.0,74.8,0.0,1,0,0,1
Kharif,2000,Millet,Uttara Kannada,0.091224830285622,2880.112541,7598.63,6.98,115.7,15.1,132.0,1.24,1,975.3,31.4,155.0,0.1,0,0,0,6
Rabi,2000,Millet,Uttara Kannada,0.06187493644497583,2923.306887,7262.17,6.2,101.8,10.4,147.2,2.0,1,343.8,21.4,94.7,12.9,0,0,0,2
Zaid,2000,Millet,Uttara Kannada,0.0949535062640491,2804.589783,7574.94,7.25,196.2,10.6,100.3,1.67,1,326.3,29.5,109.6,0.0,0,0,0,1
Kharif,2000,Millet,Vijayapura,0.09864921540870393,2807.431967,8429.55,6.48,196.6,11.5,119.0,1.59,0,1133.4,31.6,117.5,44.1,0,0,0,1
Rabi,2000,Millet,Vijayapura,0.2124803192230218,2595.008609,6366.81,6.78,109.6,20.2,144.8,1.82,1,450.0,24.0,151.8,13.7,1,0,0,8
Zaid,2000,Millet,Vijayapura,0.10182519047656247,2479.80163,6225.88,6.42,129.9,25.2,87.1,1.69,1,269.0,31.3,106.1,35.8,1,0,0,1
Kharif,2000,Millet,Yadgir,0.2680464299757601,2684.273525,8125.64,5.84,154.7,20.8,177.3,1.5,1,943.0,29.6,108.7,42.4,1,0,0,1
Rabi,2000,Millet,Yadgir,0.10812775906244393,2683.677152,7899.98,6.28,132.5,24.2,81.4,1.63,0,331.2,18.1,110.9,29.6,0,0,0,4
Zaid,2000,Millet,Yadgir,0.08251603755755955,2992.276848,8033.9,7.26,121.7,11.1,168.3,1.15,0,200.0,33.9,136.1,40.6,0,0,0,13
Kharif,2000,Millet,Vijayanagara,0.13739839850434987,2869.408525,8772.01,6.82,120.9,30.4,80.3,1.13,1,764.2,30.6,101.1,13.6,0,0,0,3
Rabi,2000,Millet,Vijayanagara,0.2077228046328376,2931.942914,6929.04,5.89,181.5,14.8,144.9,1.67,1,445.0,21.8,123.9,9.1,0,0,0,8
Zaid,2000,Millet,Vijayanagara,0.2383925555244164,2802.88913,7825.9,6.6,152.8,14.8,155.2,1.38,0,441.7,29.8,106.3,0.0,1,0,0,9
Kharif,2000,Groundnut,Bagalkot,0.05833673530275598,2621.512049,7406.02,6.28,100.0,22.5,80.0,1.11,1,1049.5,29.1,121.1,23.6,0,0,0,3
Rabi,2000,Groundnut,Bagalkot,0.15045366304487667,3003.454636,8293.01,6.5,100.0,38.2,144.5,1.52,0,402.6,16.6,107.8,19.8,0,0,0,6
Zaid,2000,Groundnut,Bagalkot,0.13856971736642737,2790.285217,7362.92,6.01,100.0,40.5,137.2,1.41,0,345.1,32.8,82.4,50.9,1,0,0,8
Kharif,2000,Groundnut,Ballari,0.12471523022956985,2905.450164,7862.68,6.94,124.9,34.5,102.1,1.98,0,938.9,29.2,172.0,18.2,0,0,0,7
Rabi,2000,Groundnut,Ballari,0.09558964944537031,2653.165563,7187.24,6.18,100.0,23.5,130.8,1.74,1,343.6,31.7,103.6,9.8,1,0,0,10
Zaid,2000,Groundnut,Ballari,0.0674331324241165,2702.824565,6591.9,6.52,103.9,30.9,87.0,1.5,1,200.0,34.8,132.0,0.0,0,0,0,1
Kharif,2000,Groundnut,Belagavi,0.20359167661197572,2503.902787,6513.87,6.61,141.2,39.5,104.2,1.9,1,892.4,23.2,89.1,35.6,0,0,0,7
Rabi,2000,Groundnut,Belagavi,0.08869782993044942,2829.409934,6230.47,7.22,154.0,20.9,129.2,1.71,0,425.7,21.3,96.5,0.0,1,0,0,6
Zaid,2000,Groundnut,Belagavi,0.06388265720934239,2753.309022,6406.68,6.88,100.0,35.2,80.0,1.46,1,211.7,34.4,68.2,39.9,0,0,0,2
Kharif,2000,Groundnut,Bengaluru Rural,0.10117885210726928,2781.719918,8117.29,6.48,118.8,26.8,80.0,1.89,0,803.0,29.9,65.2,11.5,0,0,0,9
Rabi,2000,Groundnut,Bengaluru Rural,0.18372197413722202,2849.787483,7788.63,6.34,182.6,29.2,131.1,1.89,0,423.5,18.7,90.0,24.6,1,0,0,3
Zaid,2000,Groundnut,Bengaluru Rural,0.08044342133451703,2772.051087,7702.66,6.86,100.0,26.8,80.0,1.86,0,327.3,25.8,194.8,10.8,0,0,0,8
Kharif,2000,Groundnut,Bengaluru Urban,0.09713164868553069,2664.746639,7862.63,7.04,100.0,31.1,86.9,1.4,1,1276.0,29.6,79.6,23.7,1,0,0,16
Rabi,2000,Groundnut,Bengaluru Urban,0.21252783276346973,2719.394106,8131.05,6.6,141.9,35.0,154.2,1.78,0,287.8,17.0,116.1,39.3,1,0,0,5
Zaid,2000,Groundnut,Bengaluru Urban,0.10484876586483476,2609.999022,6635.35,7.29,117.4,24.1,146.8,1.93,1,203.3,34.1,125.2,42.9,0,0,0,5
Kharif,2000,Groundnut,Bidar,0.06028065911872284,2619.031311,7390.77,6.42,100.2,17.4,80.0,2.06,0,733.5,23.4,97.7,4.6,0,0,0,3
Rabi,2000,Groundnut,Bidar,0.10183505482735299,2680.598808,6492.0,7.3,139.5,20.5,185.3,1.87,0,368.0,18.2,105.2,6.0,0,0,0,1
Zaid,2000,Groundnut,Bidar,0.26473065967884196,2714.725217,6771.28,7.0,196.8,37.1,134.7,1.75,1,367.3,31.3,117.7,20.7,0,0,0,9
Kharif,2000,Groundnut,Chamarajanagar,0.03545010659231597,2910.793115,8348.86,5.68,100.0,18.3,85.3,1.64,0,1173.6,32.5,130.1,15.0,0,0,0,1
Rabi,2000,Groundnut,Chamarajanagar,0.07880770112854567,2728.294636,7028.11,6.77,100.0,26.9,80.0,1.4,0,431.5,25.5,103.9,14.9,1,0,0,6
Zaid,2000,Groundnut,Chamarajanagar,0.12829705470159733,2907.438696,8230.89,6.56,121.4,26.5,119.5,1.37,1,247.9,35.4,97.8,19.8,0,0,0,10
Kharif,2000,Groundnut,Chikkaballapur,0.14125655501414058,2750.545574,7753.1,6.15,135.4,23.8,155.7,1.38,1,954.9,34.6,69.6,31.8,1,0,0,3
Rabi,2000,Groundnut,Chikkaballapur,0.16379344863989587,2599.963642,6764.7,6.41,100.0,26.4,113.5,1.87,0,617.6,25.7,55.7,28.4,0,0,0,6
Zaid,2000,Groundnut,Chikkaballapur,0.1704963804498284,2814.527174,6338.19,6.11,164.4,39.4,100.8,1.74,0,428.5,28.7,84.1,14.4,0,0,0,5
Kharif,2000,Groundnut,Chikkamagaluru,0.1368163870795166,2843.339098,8766.95,6.61,100.0,28.9,143.7,0.99,0,973.4,30.0,165.8,20.4,0,0,0,15
Rabi,2000,Groundnut,Chikkamagaluru,0.08426269301837114,2756.049272,6998.78,6.77,102.3,30.4,90.2,1.63,0,260.8,26.2,96.9,43.3,1,0,0,1
Zaid,2000,Groundnut,Chikkamagaluru,0.12394244885094474,2658.674457,7728.31,5.97,100.0,35.9,122.7,2.28,0,330.9,30.4,117.8,31.6,1,0,0,9
Kharif,2000,Groundnut,Chitradurga,0.053704566671656295,2609.110984,7128.54,6.12,100.0,11.4,133.4,1.25,1,476.5,30.5,107.5,27.6,1,0,0,6
Rabi,2000,Groundnut,Chitradurga,0.11185216162059605,2890.684437,7603.38,6.54,100.0,33.4,109.3,1.66,1,431.7,18.0,99.2,5.9,1,0,0,4
Zaid,2000,Groundnut,Chitradurga,0.1204449937127067,2544.689891,5876.34,6.51,100.0,34.7,131.8,1.56,1,364.5,30.1,121.4,0.0,0,0,0,6
Kharif,2000,Groundnut,Dakshina Kannada,0.08881247819561933,2645.244262,7693.28,6.2,100.0,26.6,134.3,1.57,0,995.6,19.5,115.8,28.3,0,0,0,2
Rabi,2000,Groundnut,Dakshina Kannada,0.13889371564086372,2871.245033,7274.88,7.25,148.0,24.3,162.6,1.62,1,366.8,17.8,93.8,18.0,0,0,0,2
Zaid,2000,Groundnut,Dakshina Kannada,0.06512525877071945,2666.842065,5551.95,6.31,105.5,27.2,117.3,1.69,0,394.1,33.5,173.7,7.3,1,0,0,5
Kharif,2000,Groundnut,Davanagere,0.04876256477048184,2726.047541,7718.31,5.84,100.0,16.8,80.0,1.75,1,1049.3,27.9,101.6,18.1,0,0,0,6
Rabi,2000,Groundnut,Davanagere,0.06068523802775978,2652.081126,7243.96,6.23,115.2,14.3,123.7,1.58,0,457.0,15.0,168.4,5.9,0,0,0,6
Zaid,2000,Groundnut,Davanagere,0.054577137827140756,2743.742174,7048.36,6.42,167.8,15.1,80.0,2.02,1,283.5,35.4,72.5,0.0,1,0,0,4
Kharif,2000,Groundnut,Dharwad,0.13197920592092638,2594.079098,7071.42,7.55,100.0,32.1,127.1,1.97,0,1207.2,24.5,108.4,25.1,1,0,0,15
Rabi,2000,Groundnut,Dharwad,0.036664279384716864,2665.151722,6787.1,6.32,106.6,15.3,88.7,1.94,1,335.3,18.2,93.0,27.8,1,0,0,2
Zaid,2000,Groundnut,Dharwad,0.07153918725973188,2766.219674,7821.26,6.98,100.0,14.8,163.3,1.49,1,280.3,33.9,143.5,15.2,1,0,0,6
Kharif,2000,Groundnut,Gadag,0.18533222820566983,2668.28582,7463.77,6.19,136.7,26.6,126.3,2.04,1,999.9,25.5,117.5,32.3,0,0,0,5
Rabi,2000,Groundnut,Gadag,0.0912844163463338,2730.547285,6522.77,5.99,100.0,42.5,84.5,1.51,1,372.7,15.0,133.1,27.9,1,0,0,7
Zaid,2000,Groundnut,Gadag,0.12447018004622323,2682.733261,6061.09,6.42,110.2,24.0,165.7,1.72,1,358.0,28.9,120.5,28.1,1,0,0,6
Kharif,2000,Groundnut,Hassan,0.09979298653506692,3023.047459,9025.71,6.69,100.0,22.0,136.1,1.96,1,904.2,34.8,139.4,0.0,0,0,0,7
Rabi,2000,Groundnut,Hassan,0.14285253933112924,2886.626159,6953.8,6.87,114.3,36.3,137.9,1.53,0,279.3,23.3,78.0,42.7,0,0,0,4
Zaid,2000,Groundnut,Hassan,0.06961362030634734,2669.848913,7242.11,7.31,115.3,16.5,131.5,1.94,0,252.0,27.7,73.3,17.0,1,0,0,2
Kharif,2000,Groundnut,Haveri,0.15534234334220984,2684.633852,7721.71,7.34,100.0,28.0,146.3,1.16,1,553.9,31.4,89.7,26.7,0,0,0,2
Rabi,2000,Groundnut,Haveri,0.263635738103252,2768.620265,6565.7,6.22,106.4,38.3,177.8,2.19,1,519.1,17.5,130.5,23.2,0,0,0,12
Zaid,2000,Groundnut,Haveri,0.1339156614441548,2702.357065,7671.44,6.42,100.0,31.7,147.0,1.61,0,416.2,30.7,80.2,11.3,0,0,0,6
Kharif,2000,Groundnut,Kalaburagi,0.08352104944126373,2743.056721,7398.46,7.24,124.7,17.9,173.7,1.95,0,1014.5,31.4,97.3,41.8,0,0,0,1
Rabi,2000,Groundnut,Kalaburagi,0.07165194601844296,2751.860795,7488.36,6.26,100.0,27.2,80.0,1.68,0,385.5,24.1,100.7,18.3,1,0,0,8
Zaid,2000,Groundnut,Kalaburagi,0.12293302163299757,2693.988478,7639.21,5.93,100.0,25.9,171.5,2.08,1,264.1,33.0,73.9,29.9,1,0,0,3
Kharif,2000,Groundnut,Kodagu,0.06721319576122074,2817.709508,8357.76,6.45,100.0,19.2,93.7,1.52,0,972.2,27.1,154.2,16.3,0,0,0,6
Rabi,2000,Groundnut,Kodagu,0.13013255779346045,2751.387947,7329.98,5.32,134.8,32.0,109.6,1.6,1,450.8,19.6,88.3,37.0,1,0,0,2
Zaid,2000,Groundnut,Kodagu,0.06891542115511266,2947.296413,8249.47,6.89,100.0,28.5,80.0,1.72,1,297.2,29.6,97.3,17.5,0,0,0,3
Kharif,2000,Groundnut,Kolar,0.09419300428712074,2799.572869,8393.75,6.6,145.8,18.1,120.4,1.72,0,1036.1,29.1,161.5,23.0,0,0,0,2
Rabi,2000,Groundnut,Kolar,0.06357414107321875,2745.514702,7341.7,6.71,135.6,10.0,87.8,1.77,0,602.4,25.5,108.1,14.0,1,0,0,6
Zaid,2000,Groundnut,Kolar,0.04767968360677456,2853.980543,6808.87,6.18,100.0,22.1,89.0,1.61,0,428.1,30.9,121.1,28.1,1,0,0,6
Kharif,2000,Groundnut,Koppal,0.2295613781524201,2894.981066,8334.05,6.93,100.0,24.7,214.2,1.68,1,752.2,31.9,89.9,0.0,1,0,0,7
Rabi,2000,Groundnut,Koppal,0.14855212018094768,2631.079205,6176.02,7.41,142.2,22.4,156.0,1.59,0,484.1,23.9,125.3,35.8,1,0,0,4
Zaid,2000,Groundnut,Koppal,0.057328888098537346,2941.620761,7458.18,6.34,100.0,18.4,130.6,2.19,0,215.9,32.6,113.3,31.4,0,0,0,6
Kharif,2000,Groundnut,Mandya,0.21018425688535183,2707.63418,8735.93,5.99,117.3,24.8,148.5,1.95,1,1407.9,25.6,125.6,28.6,0,0,0,8
Rabi,2000,Groundnut,Mandya,0.13844741429197055,2639.198543,7163.81,6.01,145.1,36.6,114.6,0.94,0,340.2,18.0,136.3,32.0,1,0,0,2
Zaid,2000,Groundnut,Mandya,0.08491548949371958,2895.020326,7848.36,6.38,100.0,23.0,90.4,2.07,1,274.6,27.5,143.8,22.3,1,0,0,12
Kharif,2000,Groundnut,Mysuru,0.10309250426097644,2521.905984,6758.94,6.06,112.4,16.7,153.7,1.44,0,939.6,26.8,122.2,16.1,1,0,0,10
Rabi,2000,Groundnut,Mysuru,0.13900921491842416,2739.479603,8445.2,6.56,177.5,18.2,98.4,1.75,1,417.6,22.8,127.4,6.1,1,0,0,11
Zaid,2000,Groundnut,Mysuru,0.07950826207975142,2689.047609,6616.92,6.83,175.1,25.0,88.5,1.91,0,290.5,32.7,104.0,20.6,0,0,0,1
Kharif,2000,Groundnut,Raichur,0.1315770281626397,2436.513852,7370.47,6.66,107.5,31.9,105.5,1.74,1,849.0,30.6,91.5,34.1,0,0,0,4
Rabi,2000,Groundnut,Raichur,0.10594122833307146,3066.438344,8298.96,6.68,173.0,24.3,107.6,1.58,0,370.2,15.0,129.9,39.5,0,0,0,2
Zaid,2000,Groundnut,Raichur,0.11305859814576238,2519.862283,6171.07,6.96,167.6,25.2,112.7,1.59,0,391.6,33.0,140.8,27.4,1,0,0,9
Kharif,2000,Groundnut,Ramanagara,0.06521143209120953,2759.088197,6884.61,6.59,139.2,10.0,138.1,1.38,1,539.4,30.6,112.9,55.1,1,0,0,1
Rabi,2000,Groundnut,Ramanagara,0.0673732529590935,2722.646821,7013.11,7.3,129.0,26.7,80.0,1.5,0,317.0,21.7,110.5,45.8,0,0,0,9
Zaid,2000,Groundnut,Ramanagara,0.03769240836367376,2725.232609,7129.37,6.2,107.1,20.1,80.0,1.39,0,297.1,31.3,50.0,30.4,0,0,0,1
Kharif,2000,Groundnut,Shivamogga,0.061551164720188796,2667.022131,6889.92,6.54,100.0,23.6,95.4,1.67,0,1163.9,29.1,100.8,11.9,1,0,0,5
Rabi,2000,Groundnut,Shivamogga,0.09962987489687283,2831.721987,6984.39,6.34,100.0,34.6,118.4,2.14,1,394.0,18.4,86.3,2.8,0,0,0,1
Zaid,2000,Groundnut,Shivamogga,0.05646191857651326,2625.168478,6526.46,6.63,119.5,13.4,144.6,1.43,0,311.6,32.4,87.5,12.9,0,0,0,8
Kharif,2000,Groundnut,Tumakuru,0.057749679321604665,2760.976557,7312.65,5.45,100.0,24.4,88.4,1.54,0,915.1,29.5,101.3,42.1,0,0,0,12
